officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Barenda B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Barhan S.O,283201,S.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,05612-2755420,,Agra Fort H.O,TPCL
Barobara Khurd B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Barwar B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Basai Jagner B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,Keragarh,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Baseri Chahar B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Baseri Kazi B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Basona B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Basoni B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Bateshwar B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Behrampur B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Beman B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Berichahar B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Bhadrauli S.O,283113,S.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,0895-8422094,,Agra Fort H.O,TPCL
Bhagupur B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Bhakar B.O,283121,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kheragarh S.O,Agra H.O,TPCL
Bhalokhara B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Bhara B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Bharkol B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Bhilawali B.O,283121,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kheragarh S.O,Agra H.O,TPCL
Bhogipura S.O,282010,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2211146,,Agra H.O,TPCL
Biara B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Bichola B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Bihari B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Bijhamai B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Bikapur Tap Kharga B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Billoch Pura B.O,282002,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Civil Line S.O (Agra),Agra H.O,TPCL
Biprawali B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Birai B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Birharu B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Birthala B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Bisalpur B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Bitholi B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Bodla B.O,282007,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Budhana Mustkil B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
C.O.D. S.O,282009,S.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,0562-2412971,,Agra H.O,TPCL
Chamraua B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Chamraula B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Chaoli B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Chauma Shahpur B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Chaurangahar B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Cheet B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Chhalesar B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Chimman Lal Road B.O,282003,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Agra City S.O,Agra Fort H.O,TPCL
Chitaura B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Chitra Hat B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Chokda B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Churiyari B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Civil Court S.O (Agra),282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2854488,,Agra H.O,TPCL
Civil Line S.O (Agra),282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2522504,,Agra H.O,TPCL
Collectrate S.O,282010,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2260556,,Agra H.O,TPCL
Dabar B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Dahtora B.O,282007,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Dankasha B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Daoli B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Darki B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Dauki B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Daultabad B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Dayal Bagh S.O,282005,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2570168,,Agra Fort H.O,TPCL
Dehgawan B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Deoretha B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Deori B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Deori Road S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-94122220,,Agra H.O,TPCL
Dhanaula Kalan B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatahabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Dhandupura B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Dhanina B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Dhanoli B.O,283102,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Dharera B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Dhaurra B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Dhim Shree B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Digner B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Digrauta B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Doora B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Dulhara B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Etmadpur S.O,283202,S.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,0562-2723322,,Agra Fort H.O,TPCL
Fatehabad Bazaar S.O,283111,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,05612-252180,,Agra Fort H.O,TPCL
Fatehabad S.O (Agra),283111,S.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,05612-252623,,Agra Fort H.O,TPCL
Fatehapursikari S.O,283110,S.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,05613-2882599,,Agra H.O,TPCL
Foundry Nagar S.O,282006,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-94125202,,Agra Fort H.O,TPCL
G. L. Emporiaumi S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2464130,,Agra H.O,TPCL
G.G Industries S.O,282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2622328,,Agra Fort H.O,TPCL
G.M Khan S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2254156,,Agra Fort H.O,TPCL
Gajaura B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Gandhi Nagar S.O (Agra),282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2531236,,Agra Fort H.O,TPCL
Garh Mukha B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Garhi Lal Kalan B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Garhwar B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Garsani B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Garshan B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Gokulpura S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2851618,,Agra H.O,TPCL
Gonseli B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Gubroth B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Gurki Mandi B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Gutila B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
H.N.Khera B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Hansela B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Hasanpur B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Hazipur Khera B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Hironda B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Holipura B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Hospital Road S.O (Agra),282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2461169,,Agra Fort H.O,TPCL
Hotal Clarkshiraj S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2226552,,Agra H.O,TPCL
I. A. F. S.O,282008,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-230919,,Agra H.O,TPCL
Idgha Colony S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2422791,,Agra H.O,TPCL
Indrapuram S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2461052,,Agra H.O,TPCL
Industrial Estate S.O (Agra),282006,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2280190,,Agra Fort H.O,TPCL
Iradat Nagar S.O,283112,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-239120,,Agra H.O,TPCL
Jaganpur B.O,282005,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Dayal Bagh S.O,Agra Fort H.O,TPCL
Jagdish Pura S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2267694,,Agra H.O,TPCL
Jagner S.O,283115,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-274220,,Agra H.O,TPCL
Jagrajpur B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Jaingara B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Jaitpur S.O (Agra),283114,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05612-226001,,Agra Fort H.O,TPCL
Jajau B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Jajau B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Jajauli B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Jarar B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Jarari B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Jarua Katra B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
John's Mill S.O,282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2621761,,Agra Fort H.O,TPCL
Johri Bazar S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2461570,,Agra Fort H.O,TPCL
Jonai B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
K.H.Sansthan S.O,282005,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2531241,,Agra Fort H.O,TPCL
Kachaura B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Kachora Ghat B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Kagrol S.O,283119,S.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragah,agra,UTTAR PRADESH,05613-214010,,Agra H.O,TPCL
Kailash B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Kakua B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Kalal Kheria B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Kalibari S.O (Agra),282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2157909,,Agra Fort H.O,TPCL
